Date,MINT,EMB,IAU,VCIT,MUB,SCHA,VEA,VYM,SCHH,VWO,FENY,VTIP,VGLT,ITE
2015-06-18,101.23,109.93,11.62,85.36,108.26,59.16,41.07,69.93,38.39,41.85,22.22,48.72,73.04,60.13
2015-06-19,101.27,110.21,11.6,85.8,108.45,59.17,40.98,69.54,38.05,41.47,21.9,48.75,73.85,60.11
2015-06-22,101.23,110.37,11.45,85.16,108.12,59.32,41.69,69.94,37.45,42.01,22.09,48.66,72.59,59.97
2015-06-23,101.22,110.33,11.39,84.97,108.09,59.43,41.84,69.89,37.15,42.39,22.19,48.67,72.22,59.89
2015-06-24,101.22,110.43,11.35,85.1,108.38,58.89,41.5,69.37,36.98,42.17,22.06,48.7,72.77,59.94
2015-06-25,101.21,110.28,11.33,84.87,108.26,58.76,41.49,69.1,36.6,42.02,21.83,48.66,72.44,59.97
2015-06-26,101.23,109.93,11.35,84.73,108.13,58.64,40.94,68.66,36.84,41.25,21.86,48.6,71.78,59.8
2015-06-29,101.24,109.64,11.39,85.32,108.59,57.23,39.71,67.34,36.27,40.34,21.46,48.68,73.42,60.15
2015-06-30,101.15,109.92,11.34,85.3,108.21,57.48,39.65,67.32,36.32,40.88,21.57,48.68,73.06,60.05
2015-07-01,101.17,109.9,11.3,84.81,107.99,57.67,39.91,67.77,36.88,40.88,21.26,48.64,71.99,59.89
2015-07-02,101.19,109.97,11.27,85.03,108.15,57.35,40.01,67.79,37.04,41.07,21.33,48.72,72.17,59.93
2015-07-06,101.16,109.51,11.3,85.11,108.32,57.21,39.19,67.57,37.2,39.93,21.02,48.74,73.41,60.12
2015-07-07,101.2,109.43,11.18,85.59,108.3,57.37,39.18,68.08,37.8,39.32,21.23,48.74,74.06,60.22
2015-07-08,101.22,109.22,11.21,85.59,108.7,56.5,38.23,67.13,37.7,37.87,20.79,48.76,74.63,60.24
2015-07-09,101.19,109.47,11.23,85.18,108.53,56.72,38.85,67.17,37.56,38.64,20.87,48.7,73.28,60.13
2015-07-10,101.12,109.88,11.24,84.66,108.41,57.45,40.03,67.88,37.82,39.73,20.96,48.7,72.29,59.95
2015-07-13,101.15,109.71,11.2,84.52,108.36,58.02,40.2,68.51,37.86,39.98,21.1,48.59,71.95,59.87
2015-07-14,101.14,109.35,11.17,84.62,108.46,58.3,40.48,68.73,37.95,40.08,21.31,48.64,72.21,59.96
2015-07-15,101.14,109.35,11.1,84.83,108.4,57.97,40.32,68.6,38.02,39.59,20.92,48.61,72.93,60.06
2015-07-16,101.15,109.64,11.06,84.84,108.49,58.33,40.66,69.11,38.33,40.06,20.89,48.6,73.38,60.04
2015-07-17,101.12,109.68,10.95,84.87,108.68,57.99,40.6,68.78,38.16,40.05,20.65,48.64,73.69,60.05
2015-07-20,101.13,109.53,10.65,84.68,108.7,57.75,40.69,68.73,38.24,39.8,20.36,48.58,73.44,60.0
2015-07-21,101.17,109.6,10.62,84.84,108.79,57.48,40.58,68.34,38.14,39.81,20.39,48.56,73.78,60.02
2015-07-22,101.11,109.67,10.56,84.8,108.87,57.59,40.24,68.14,38.28,39.28,20.22,48.61,74.23,60.0
2015-07-23,101.15,109.38,10.52,85.09,109.0,57.08,40.11,67.78,37.83,38.95,20.17,48.59,75.06,60.11
2015-07-24,101.16,108.98,10.62,85.06,109.09,56.35,39.68,67.11,38.01,38.39,19.77,48.57,75.24,60.27
2015-07-27,101.2,108.55,10.58,85.04,109.17,55.81,39.43,66.86,38.09,37.53,19.47,48.54,75.63,60.25
2015-07-28,101.19,108.74,10.58,85.07,109.07,56.33,39.92,67.61,38.15,37.89,20.04,48.51,75.11,60.18
2015-07-29,101.18,109.3,10.6,84.95,108.96,56.72,40.06,68.15,38.36,38.24,20.37,48.56,74.82,60.1
2015-07-30,101.16,109.65,10.51,84.86,108.97,56.86,40.04,68.18,38.19,38.0,20.25,48.56,75.36,60.12
2015-07-31,101.1,109.66,10.58,85.24,109.19,57.12,40.23,68.03,38.49,38.32,19.71,48.6,75.83,60.31
2015-08-03,101.07,108.76,10.49,85.13,109.1,56.79,40.11,67.83,38.68,37.69,19.33,48.51,76.37,60.28
2015-08-04,101.09,108.92,10.52,84.77,108.87,56.72,40.15,67.7,38.46,37.81,19.23,48.41,75.81,60.12
2015-08-05,101.08,108.81,10.48,84.64,108.82,56.94,40.36,67.99,38.25,37.85,19.08,48.38,75.23,60.04
2015-08-06,101.09,108.42,10.52,84.65,108.87,56.24,40.18,67.67,38.34,37.58,19.43,48.41,75.86,60.18
2015-08-07,101.1,108.47,10.56,84.95,108.89,55.94,40.14,67.42,38.52,37.54,19.06,48.35,76.74,60.15
2015-08-10,101.09,108.49,10.66,84.58,108.61,56.63,40.63,68.28,38.39,38.18,19.7,48.4,75.94,60.07
2015-08-11,101.12,108.52,10.72,85.02,109.09,56.17,39.99,67.7,38.68,37.36,19.68,48.43,76.99,60.31
2015-08-12,101.11,108.58,10.86,84.96,108.81,56.06,39.73,67.82,38.79,36.78,20.06,48.44,76.72,60.31
2015-08-13,101.1,108.49,10.77,84.74,108.92,55.95,39.72,67.7,38.88,36.71,19.76,48.35,76.41,60.19
2015-08-14,101.11,108.55,10.78,84.58,108.93,56.29,39.79,68.0,39.07,36.82,19.68,48.36,76.56,60.16
2015-08-17,101.13,108.62,10.79,84.75,108.94,56.78,39.71,68.24,39.44,36.43,19.71,48.3,76.82,60.19
2015-08-18,101.13,108.23,10.8,84.52,108.78,56.43,39.4,68.02,39.54,36.01,19.65,48.3,76.29,60.15
2015-08-19,101.15,107.94,10.94,84.98,109.03,55.86,39.08,67.45,39.28,35.52,19.11,48.28,77.02,60.29
2015-08-20,101.09,107.55,11.14,84.82,109.0,54.4,38.12,66.35,39.03,34.95,18.65,48.33,77.78,60.32
2015-08-21,101.09,107.09,11.2,85.02,109.24,53.49,37.16,64.51,38.28,33.86,18.02,48.3,78.03,60.47
2015-08-24,101.16,105.57,11.14,84.78,108.91,51.42,35.91,61.44,36.47,32.17,17.1,48.24,78.14,60.43
2015-08-25,101.12,106.36,11.02,84.37,108.73,51.0,36.26,60.85,35.45,32.63,16.86,48.26,76.78,60.42
2015-08-26,101.14,106.34,10.87,84.23,108.63,52.3,37.21,63.06,36.41,33.76,17.39,48.22,75.53,60.3
2015-08-27,101.05,107.88,10.85,84.22,108.9,53.4,37.7,64.52,37.15,35.12,18.33,48.28,75.54,60.33
2015-08-28,101.04,107.95,10.95,84.26,108.92,53.79,37.6,64.55,37.06,34.61,18.71,48.34,75.64,60.22
2015-08-31,101.06,108.01,10.98,84.22,108.84,53.54,37.32,64.18,36.22,34.54,19.0,48.41,75.2,60.23
2015-09-01,101.06,107.63,11.01,84.39,108.95,52.06,36.09,62.25,35.5,33.19,18.23,48.39,75.36,60.3
2015-09-02,101.01,107.16,10.95,84.53,108.79,52.89,36.66,63.22,35.88,33.69,18.41,48.34,74.97,60.23
2015-09-03,101.01,107.72,10.88,84.85,108.88,52.96,36.71,63.43,35.99,33.84,18.48,48.34,75.17,60.25
2015-09-04,101.0,107.64,10.83,85.04,109.0,52.51,35.87,62.42,35.26,32.78,18.17,48.33,75.96,60.3
2015-09-08,101.02,107.6,10.84,84.78,108.7,53.68,36.93,63.95,35.79,33.88,18.41,48.31,75.01,60.2
2015-09-09,101.01,107.96,10.7,84.76,108.72,53.17,36.79,63.05,35.35,33.69,18.04,48.31,75.25,60.22
2015-09-10,100.99,107.8,10.72,84.71,108.6,53.31,37.03,63.27,35.41,33.94,18.12,48.35,74.72,60.2
2015-09-11,101.02,107.82,10.71,84.94,108.64,53.54,37.02,63.4,36.14,34.07,17.93,48.35,75.13,60.28
2015-09-14,101.01,107.89,10.72,84.85,108.6,53.34,36.75,63.21,36.15,34.07,17.81,48.35,75.26,60.3
2015-09-15,100.96,107.76,10.67,84.32,108.18,53.92,37.02,64.07,36.5,34.42,18.02,48.26,73.91,60.09
2015-09-16,100.96,108.2,10.81,84.23,108.19,54.38,37.55,64.7,36.93,35.22,18.55,48.28,73.68,60.07
2015-09-17,100.99,108.83,10.94,84.88,108.7,54.46,37.57,64.54,37.31,35.22,18.53,48.45,74.53,60.35
2015-09-18,101.0,109.11,11.01,85.13,108.95,53.67,36.66,63.56,37.26,34.38,17.88,48.42,75.55,60.44
